timestep,rel_error
1.0
500,1.882431637742536
1000,1.7279064941293296
1500,2.0290244464010034
2000,0.9520856931533452
2500,1.2032897751032994
3000,0.6028965899287537
3500,0.7754571159213163
4000,0.5417829657139094
4500,0.5886070173784664
5000,0.5350835444147053
5500,0.44383061383027195
6000,0.5033783404528782
6500,0.3106728543717435
7000,0.4435186640493632
7500,0.18741630818071703
8000,0.3916961089755165
8500,0.10625817066527059
9000,0.3689361454875271
9500,0.06105928709071497
10000,0.3576586005423112
