timestep,rel_error
1, 1.0
500,0.39378070535538795
1000, 0.1455117836198786
1500,0.11536599213895352
2000,0.0965553053107728
2500,0.052527235426933584
3000,0.057270376867354596
3500,0.056772494503050684
4000,0.05012346000285523
4500,0.042388858939994695
5000,0.04279617107010102
5500,0.03155127613480646
6000,0.03415933187313599
6500,0.02768852556226076
7000,0.025029759958506467
7500,0.02555257504393578
8000,0.028525686808459995
8500,0.021915705442290868
9000,0.021610377026185117
9500,0.0202285361765205
10000,0.016024048764137575
