timestep,rel_error
1,1.00000
500,7.886499e-01
1000,5.491918e-01
1500,5.522759e-01
2000,1.505676e-01
2500,3.809605e-01
3000,2.768986e-01
3500,2.522973e-01
4000,2.033568e-01
4500,1.692532e-01
5000,1.505676e-01
5500,1.073787e-01
6000,1.227345e-01
6500,6.516774e-02
7000,1.075151e-01
7500,4.730833e-02
8000,1.011190e-01
8500,3.699539e-02
9000,9.254191e-02
10000,2.870227e-02
